ds	comb	initial_fk	fk	rl	rank	diff
0	R	100.0	100.0	1.3	8.0	98.7
0	G	100.0	100.0	100.0	15.0	0.0
0	S	100.0	99.6	92.9	14.0	7.099999999999994
0	T	100.0	100.0	92.8	12.5	7.200000000000002
0	G, R	100.0	100.0	1.0	3.5	99.0
0	R, S	100.0	98.9	1.1	5.5	98.9
0	R, T	100.0	100.0	1.2	7.0	98.8
0	G, S	100.0	99.4	5.1	9.5	94.9
0	G, T	100.0	100.0	92.8	12.5	7.200000000000002
0	S, T	100.0	99.6	90.8	11.0	9.200000000000003
0	G, R, S	100.0	98.9	1.1	5.5	98.9
0	G, R, T	100.0	100.0	0.9	1.5	99.1
0	R, S, T	100.0	98.9	0.9	1.5	99.1
0	G, S, T	100.0	99.4	5.1	9.5	94.9
0	G, R, S, T	100.0	98.9	1.0	3.5	99.0
1	T	100.0	100.0	100.0	7.0	0.0
1	N	100.0	100.0	0.0	3.5	100.0
1	R	100.0	0.1	0.0	3.5	100.0
1	N, T	100.0	100.0	0.0	3.5	100.0
1	R, T	100.0	0.1	0.0	3.5	100.0
1	N, R	100.0	100.0	0.0	3.5	100.0
1	N, R, T	100.0	100.0	0.0	3.5	100.0
2	R	100.0	99.23298178331736	0.0	11.5	100.0
2	T	100.0	100.0	85.81016299137104	29.0	14.189837008628956
2	G	100.0	100.0	41.80249280920422	28.0	58.19750719079579
2	N	100.0	100.0	0.0	11.5	100.0
2	S	100.0	100.0	90.9875359539789	31.0	9.012464046021094
2	R, T	100.0	99.0412272291467	0.0	11.5	100.0
2	G, R	100.0	99.0412272291467	0.0	11.5	100.0
2	N, R	100.0	100.0	0.0	11.5	100.0
2	R, S	100.0	87.44007670182167	0.0	11.5	100.0
2	G, T	100.0	100.0	36.91275167785235	27.0	63.08724832214765
2	N, T	100.0	100.0	1.5340364333652925	24.0	98.46596356663471
2	S, T	100.0	100.0	86.09779482262704	30.0	13.902205177372961
2	G, N	100.0	100.0	0.0	11.5	100.0
2	G, S	100.0	100.0	22.24352828379674	26.0	77.75647171620327
2	N, S	100.0	100.0	0.0	11.5	100.0
2	G, R, T	100.0	98.65771812080537	0.0	11.5	100.0
2	N, R, T	100.0	100.0	0.0	11.5	100.0
2	R, S, T	100.0	87.24832214765101	0.0	11.5	100.0
2	G, N, R	100.0	100.0	0.0	11.5	100.0
2	G, R, S	100.0	84.27612655800576	0.0	11.5	100.0
2	N, R, S	100.0	100.0	0.0	11.5	100.0
2	G, N, T	100.0	100.0	0.0	11.5	100.0
2	G, S, T	100.0	100.0	20.038350910834133	25.0	79.96164908916586
2	N, S, T	100.0	100.0	1.1505273250239694	23.0	98.84947267497603
2	G, N, S	100.0	100.0	0.0	11.5	100.0
2	G, N, R, T	100.0	100.0	0.0	11.5	100.0
2	G, R, S, T	100.0	83.89261744966443	0.0	11.5	100.0
2	N, R, S, T	100.0	100.0	0.0	11.5	100.0
2	G, N, R, S	100.0	100.0	0.0	11.5	100.0
2	G, N, S, T	100.0	100.0	0.0	11.5	100.0
2	G, N, R, S, T	100.0	100.0	0.0	11.5	100.0
3	S	99.43127962085308	99.43127962085308	76.49289099526067	28.0	23.06959008579599
3	T	99.43127962085308	99.43127962085308	81.70616113744076	30.0	17.826501429933263
3	N	99.43127962085308	100.0	0.0	12.0	100.0
3	R	99.43127962085308	17.061611374407583	0.0	12.0	100.0
3	G	99.43127962085308	99.43127962085308	86.72985781990522	31.0	12.77407054337463
3	S, T	99.43127962085308	99.43127962085308	73.45971563981043	26.0	26.12011439466158
3	N, S	99.43127962085308	100.0	0.0	12.0	100.0
3	R, S	99.43127962085308	16.587677725118482	0.0	12.0	100.0
3	G, S	99.43127962085308	99.43127962085308	76.39810426540285	27.0	23.164918970448035
3	N, T	99.43127962085308	100.0	0.0947867298578199	24.0	99.90467111534795
3	R, T	99.43127962085308	6.161137440758294	0.0	12.0	100.0
3	G, T	99.43127962085308	99.43127962085308	79.43127962085308	29.0	20.11439466158246
3	N, R	99.43127962085308	100.0	0.0	12.0	100.0
3	G, N	99.43127962085308	100.0	0.0	12.0	100.0
3	G, R	99.43127962085308	17.061611374407583	0.0	12.0	100.0
3	N, S, T	99.43127962085308	100.0	0.0	12.0	100.0
3	R, S, T	99.43127962085308	6.161137440758294	0.0	12.0	100.0
3	G, S, T	99.43127962085308	99.43127962085308	68.81516587677726	25.0	30.791229742612003
3	N, R, S	99.43127962085308	100.0	0.0	12.0	100.0
3	G, N, S	99.43127962085308	100.0	0.0	12.0	100.0
3	G, R, S	99.43127962085308	16.587677725118482	0.0	12.0	100.0
3	N, R, T	99.43127962085308	100.0	0.0	12.0	100.0
3	G, N, T	99.43127962085308	100.0	0.0	12.0	100.0
3	G, R, T	99.43127962085308	6.161137440758294	0.0	12.0	100.0
3	G, N, R	99.43127962085308	100.0	0.0	12.0	100.0
3	N, R, S, T	99.43127962085308	100.0	0.0	12.0	100.0
3	G, N, S, T	99.43127962085308	100.0	0.0	12.0	100.0
3	G, R, S, T	99.43127962085308	6.161137440758294	0.0	12.0	100.0
3	G, N, R, S	99.43127962085308	100.0	0.0	12.0	100.0
3	G, N, R, T	99.43127962085308	100.0	0.0	12.0	100.0
3	G, N, R, S, T	99.43127962085308	100.0	0.0	12.0	100.0
4	S	100.0	100.0	100.0	15.0	0.0
4	G	100.0	100.0	0.0	6.5	100.0
4	R	100.0	100.0	0.0	6.5	100.0
4	T	100.0	100.0	93.10986964618249	14.0	6.890130353817511
4	G, S	100.0	91.80633147113593	0.0	6.5	100.0
4	R, S	100.0	100.0	0.0	6.5	100.0
4	S, T	100.0	100.0	80.63314711359403	13.0	19.366852886405965
4	G, R	100.0	100.0	0.0	6.5	100.0
4	G, T	100.0	100.0	0.0	6.5	100.0
4	R, T	100.0	100.0	0.0	6.5	100.0
4	G, R, S	100.0	89.8510242085661	0.0	6.5	100.0
4	G, S, T	100.0	91.15456238361266	0.0	6.5	100.0
4	R, S, T	100.0	100.0	0.0	6.5	100.0
4	G, R, T	100.0	100.0	0.0	6.5	100.0
4	G, R, S, T	100.0	87.33705772811918	0.0	6.5	100.0
5	T	100.0	100.0	82.82265552460538	29.0	17.17734447539462
5	R	100.0	99.25719591457754	0.0	11.5	100.0
5	N	100.0	100.0	0.0	11.5	100.0
5	G	100.0	99.62859795728876	15.506035283194057	28.0	84.49396471680595
5	S	100.0	100.0	91.27205199628598	31.0	8.727948003714019
5	R, T	100.0	99.07149489322191	0.0	11.5	100.0
5	N, T	100.0	100.0	1.2070566388115134	23.0	98.7929433611885
5	G, T	100.0	99.62859795728876	13.277623026926648	27.0	86.72237697307335
5	S, T	100.0	100.0	85.70102135561746	30.0	14.298978644382544
5	N, R	100.0	100.0	0.0	11.5	100.0
5	G, R	100.0	97.40018570102136	0.0	11.5	100.0
5	R, S	100.0	87.83658310120705	0.0	11.5	100.0
5	G, N	100.0	100.0	0.0	11.5	100.0
5	N, S	100.0	100.0	0.0	11.5	100.0
5	G, S	100.0	99.62859795728876	3.714020427112349	26.0	96.28597957288767
5	N, R, T	100.0	100.0	0.0	11.5	100.0
5	G, R, T	100.0	97.21448467966574	0.0	11.5	100.0
5	R, S, T	100.0	87.65088207985144	0.0	11.5	100.0
5	G, N, T	100.0	100.0	0.0	11.5	100.0
5	N, S, T	100.0	100.0	2.4141132776230267	24.0	97.58588672237697
5	G, S, T	100.0	99.62859795728876	3.4354688950789227	25.0	96.56453110492107
5	G, N, R	100.0	100.0	0.0	11.5	100.0
5	N, R, S	100.0	100.0	0.0	11.5	100.0
5	G, R, S	100.0	78.55153203342618	0.0	11.5	100.0
5	G, N, S	100.0	100.0	0.0	11.5	100.0
5	G, N, R, T	100.0	100.0	0.0	11.5	100.0
5	N, R, S, T	100.0	100.0	0.0	11.5	100.0
5	G, R, S, T	100.0	78.36583101207057	0.0	11.5	100.0
5	G, N, S, T	100.0	100.0	0.0	11.5	100.0
5	G, N, R, S	100.0	100.0	0.0	11.5	100.0
5	G, N, R, S, T	100.0	100.0	0.0	11.5	100.0
6	G	77.36699729486024	75.56357078449054	71.77637511271416	30.0	7.226107226107226
6	T	77.36699729486024	77.0063119927863	59.69341749323715	28.0	22.843822843822853
6	R	77.36699729486024	73.39945897204689	0.0	12.5	100.0
6	S	77.36699729486024	77.36699729486024	72.22723174030658	31.0	6.643356643356656
6	N	77.36699729486024	100.0	0.0	12.5	100.0
6	G, T	77.36699729486024	75.11271415689811	57.07844905320108	26.0	26.223776223776227
6	G, R	77.36699729486024	72.31740306582506	0.0	12.5	100.0
